camis,name,boro,building,street,zipcode,phone,cuisine
41368950,GOTHAM PIZZA,Manhattan,144,9 AVENUE,10011,2129898858,Pizza
41580023,SAGE,Brooklyn,299301,GRAHAM AVENUE,,7182186644,Thai
50138708,FU LAI,Brooklyn,7023,FORT HAMILTON PARKWAY,11228,7186667796,Chinese
50112864,YUM BAO,Brooklyn,5103,8 AVENUE,11220,9177838889,Chinese
50054381,JUPIOCA,Brooklyn,278B,WYCKOFF AVE,11237,9179826111,"Juice, Smoothies, Fruit Salads"
50085703,XIN XING RESTAURANT,Bronx,1520,METROPOLITAN AVENUE,10462,7187926868,Chinese
50109264,BEST DELI,Queens,14745,182ND ST,11413,7188694668,American
50106096,BUSHWICK BURGER,Brooklyn,354,CORNELIA STREET,11237,7189750224,American
50156286,SILVER PALACE RESTAURANT,Manhattan,1430,SAINT NICHOLAS AVENUE,10033,6466969582,Chinese
50163138,CAFE 77,Manhattan,2,WEST 77 STREET,10024,3472652562,Sandwiches/Salads/Mixed Buffet
50065875,COLD STONE CREAMERY,Brooklyn,3165,HARKNESS AVENUE,11235,7188911114,Frozen Desserts
50048806,WIN SON,Brooklyn,159,GRAHAM AVENUE,11206,3474576010,Asian/Asian Fusion
50033380,TEA AND MILK,Queens,3202,34TH AVE,11106,9174980618,Coffee/Tea
50163507,QKO,Manhattan,447,BROADWAY,10013,9177700699,Asian/Asian Fusion
50133645,KOO THAI,Manhattan,1758,1 AVENUE,10128,6464904608,Thai
50035310,DANTE,Manhattan,79-81,MACDOUGAL ST,10012,2129825275,Italian
50104311,LAUGHING MAN CAFE,Manhattan,184,DUANE STREET,10013,9175976871,American
50006236,FRENCH LOUIE,Brooklyn,320,ATLANTIC AVENUE,11201,7189351200,French
50166451,THE PADDOCK,Bronx,4315,KATONAH AVENUE,10470,9144107216,Irish
40998515,HEARTH,Manhattan,403,EAST 12 STREET,10009,6466021300,American
50129636,BISOU,Manhattan,112,6TH AVE,10013,9173063808,French
40393395,COURT SQUARE DINER,Queens,4530,23 STREET,11101,7183921222,American
50132272,TIGER SUGAR,Manhattan,129,EAST 45 STREET,10017,9173883700,Coffee/Tea
50071494,MISC,Brooklyn,758,FRANKLIN AVENUE,11238,3476634020,Thai
50143283,APARTMENT 7B DELI & MARKET,Queens,JFK,INTL AIRPORT,11430,7037237264,American
41705732,BENTON SUSHI,Manhattan,156,EAST 45 STREET,10017,2129229788,Japanese
50139167,CARNATION RESTAURANT,Brooklyn,2310,86 STREET,11214,7182101780,Chinese
50008233,MERRY LAND BUFFET,Bronx,325,EAST 149 STREET,10451,7189933608,Chinese
50088789,SUBWAY,Queens,25310,HILLSIDE AVE,11426,9173254394,Sandwiches
50116822,NEW GARDEN,Bronx,1535,WESTCHESTER AVENUE,10472,7189913384,Chinese
40378827,KOSHER HUT OF BROOKLYN,Brooklyn,709,KINGS HIGHWAY,11223,7183768996,Jewish/Kosher
40868400,ARIANA KEBAB HOUSE,Manhattan,787,9 AVENUE,10019,2122622323,Afghan
50148675,ASAP SNACK BAR,Bronx,909,SHERIDAN AVENUE,10451,9293719017,American
50133211,MESIBA,Brooklyn,353,BEDFORD AVENUE,11211,9176220524,Mediterranean
40376142,LUSARDI'S RESTAURANT,Manhattan,1494,SECOND AVENUE,10075,2122492020,Italian
50129596,FIESTA MEXICANA RESTAURANT,Queens,5828,ROOSEVELT AVE,11377,9175597634,Mexican
41454244,COSTA VERDE,Queens,9459,CORONA AVENUE,11373,7182710900,Peruvian
50141172,QUALITY GREENS KITCHEN,Bronx,57,WILLOUGHBY ST,,2013703457,Salads
40738177,LA CABANA,Queens,3917,103 STREET,11368,7188987593,Latin American
50170491,MAY WAH PORK CHOP FAST FOOD,Manhattan,190,HESTER STREET,10013,2129256776,Chinese
50129377,TORTILLAS KING,Brooklyn,7103,18 AVENUE,11204,9177532833,Tex-Mex
50039988,TATAKI,Manhattan,3,LISPENARD STREET,10013,2129650975,Japanese
41554263,POPEYES,Queens,19702,HILLSIDE AVENUE,11423,7184643636,Chicken
50104534,SAJHOMA RESTAURANT 3,Brooklyn,941,BROADWAY,11206,7184430243,Spanish
41709587,PEACHES GRAND,Brooklyn,4143,CLIFTON PLACE,,7186389500,Seafood
50104703,BROOKLYN DINER,Queens,HH4L-332,TERM B LAGUARDIA RD,11371,3476478336,American
50079292,CANAS RESTAURANT AND BAR,Queens,14407,JAMAICA AVE,11435,9292447267,Latin American
50101946,PALENQUE COLOMBIAN FOOD,Brooklyn,298,GRAHAM AVENUE,11211,7189541955,Spanish
41063300,CENTRE PIZZA,Queens,25425,HORACE HARDING EXPRESS,,7182299879,Italian
41184659,LA CASA DEL MOFONGO,Manhattan,14471451,SAINT NICHOLAS AVENUE,,2127401200,Latin American
40372445,OMONIA CAFE,Queens,3220,BROADWAY,11106,7182746650,Greek
41495141,EL CERRITO RESTAURANT,Bronx,11841186,ELDER AVENUE,,7183288553,Mexican
41309636,LONA PIZZA,Bronx,373,EAST 204 STREET,10467,7186556600,Pizza
50085967,DUNKIN',Manhattan,815,10 AVENUE,10019,6468667462,Donuts
50128998,TROPICAL SMOOTHIE CAFE,Queens,3149,STEINWAY ST,11103,3476491920,"Juice, Smoothies, Fruit Salads"
40396548,PUGSLEY PIZZA,Bronx,590,EAST 191 STREET,10458,7183650327,Pizza
50126094,CANAAN BAKERY & CAFE,Queens,3640,UNION ST,11354,7184606094,Bakery Products/Desserts
50035091,MIXTAPE,Brooklyn,1533,MYRTLE AVENUE,11237,6467220838,American
50059581,COCORON,Manhattan,16,DELANCEY STREET,10002,2124771212,Japanese
50086994,WING STOP,Brooklyn,284,BROADWAY,11211,9292079464,Chicken
40979519,DIAMOND CLUB,Bronx,673,HUNTS POINT AVENUE,10474,7188934466,Bottled Beverages
40402893,COLUMBUS CITIZENS FOUNDATION,Manhattan,8,EAST 69 STREET,10021,2122499923,Italian
50060917,21ST LIC DELI & GROCERY,Queens,4344,21ST ST,11101,7187862484,American
50086327,ETC.,Manhattan,20,EAST 46 STREET,10017,2126971201,American
50135173,HALAL BRO'S GRILL,Brooklyn,286,UTICA AVENUE,11213,3479930857,Mediterranean
50145538,BEST WOK NO1,Brooklyn,3411A,AVENUE H,,7184349785,Chinese
41391456,CAFE REBAY,Manhattan,1071,5 AVENUE,10128,2124275690,American
40538766,RED EYE GRILL,Manhattan,888,7 AVENUE,10106,2125419000,American
50152644,CHAR SIU BAO BAKERY,Queens,25307,NORTHERN BLVD,11362,7183169767,Korean
50145449,STARBUCKS COFFEE,Brooklyn,1520,AVENUE J,11230,7187707962,Coffee/Tea
50074621,HANG HOT POT,Queens,133-35,ROOSEVELT AVENUE,11354,3473686735,Chinese
50106165,DAVID'S BRISKET HOUSE,Brooklyn,533,NOSTRAND AVENUE,11216,7187891155,Sandwiches
50002628,KFC,Bronx,5625,BROADWAY,10463,7186010582,American
50139274,DUNKIN',Brooklyn,4801,KINGS HIGHWAY,11234,5087686205,Coffee/Tea
50000338,ZORALIE,Manhattan,449,WEST 51 STREET,10019,6465903751,Caribbean
41656924,TENZAN,Manhattan,988990,2 AVENUE,,2129805900,Japanese
41277451,MARKET TABLE,Manhattan,54,CARMINE STREET,10014,2122552100,American
50049514,BRASS RIZ & GRILL EXPRESS,Queens,227-02/08,LINDEN BLVD,,9175570106,Creole
50123411,STUFFED ICE CREAM,Brooklyn,6805,BAY PARKWAY,11204,6464575651,American
41577737,COULEUR CAFE,Brooklyn,435,7 AVENUE,11215,7187886600,Coffee/Tea
50113425,PIZZA MIA,Staten Island,529,TOMPKINS AVENUE,10305,7187201212,Pizza
50114059,2M DELI,Bronx,315,ALEXANDER AVENUE,10454,7182921112,Latin American
50088464,ANDA CAFE,Queens,6002,MAIN ST,11355,9179080026,Chinese/Japanese
50038120,SHUN WON FLUSHING,Queens,4127,MAIN ST,11355,7184606118,Chinese
40396159,CARMINE'S,Manhattan,200,WEST 44 STREET,10036,2122213800,Italian
50047854,TAKUMEN,Queens,550,50TH AVE,11101,7183617973,Japanese
50066146,PINK FOREST,Queens,7201,AUSTIN ST,11375,6462878862,Coffee/Tea
40365525,DONUT PUB,Manhattan,203,WEST 14 STREET,10011,2129290126,Donuts
50123250,VERS,Manhattan,714,9 AVENUE,10019,9172949562,American
50076009,CHARLIE'S PLACE,Manhattan,1960,MADISON AVENUE,10035,2124100277,Japanese
50124022,BUNNAN,Brooklyn,2123,CATON AVENUE,11226,6464894120,Caribbean
50112047,RECETTE,Brooklyn,103,HAVEMEYER STREET,11211,9178254641,French
50133760,GREENWICH & DELANCEY NYC,Manhattan,50,WEST STREET,10006,2123003013,Jewish/Kosher
40659101,LUCKY HOUSE CHINESE KITCHEN,Brooklyn,343345,LEWIS AVENUE,,7184432298,Chinese
50139187,MAMA COCO,Queens,3812,30TH AVE,11103,3475070277,Mexican
50150810,WINGATE BY WYNDHAM LONG ISLAND CITY,Queens,3870,12TH ST,11101,3478704209,Continental
40877741,J'S PIZZA,Manhattan,98,7 AVENUE,10011,2129299007,Pizza
50118860,PIZZA TOWN,Manhattan,234,CANAL STREET,10013,9178876012,Pizza
41503108,TULCINGO RESTAURANT,Queens,40364040,NATIONAL STREET,,7186398880,Mexican
50058475,YI MIN RESTAURANT,Brooklyn,3821,FORT HAMILTON PARKWAY,11218,7186336723,Chinese
41632521,PIZZA DADDY,Brooklyn,6422,BAY PARKWAY,11204,7182597300,Italian
50145566,JAVITRI,Manhattan,132,EAST 61 STREET,10065,2122067575,Indian
50119444,MAHSIL,Queens,4007,150TH ST,11354,7184608989,Korean
50118265,ANDA BOBA TEA,Queens,6115,SPRINGFIELD BLVD,11364,6465251432,Coffee/Tea
50158841,FASTLIFE PIZZA,Brooklyn,995A,FULTON STREET,11238,5165786892,Pizza
50127870,UMI,Queens,22018,HILLSIDE AVE,11427,7184682100,Seafood
50117697,SWEET WONTON HOUSE,Queens,25325,NORTHERN BLVD,11362,7188198391,Chinese
50115409,SHAKING CRAB,Brooklyn,1045,FLUSHING AVENUE,11237,3477253262,Seafood
50144094,JAMROCK BISTRO,Brooklyn,2315,STRAUSS STREET,11212,7186122956,Caribbean
50129949,NEW JOY GARDEN,Brooklyn,482,RIVERDALE AVENUE,11207,7183852288,Chinese
50064910,GOLDEN PALACE,Bronx,1455,UNIONPORT ROAD,10462,3478980796,Bangladeshi
41657465,NAN BEI HO,Queens,21222,48 AVENUE,11364,7183571838,Chinese
50008640,CARIDAD RESTAURANT,Bronx,135,WEST KINGSBRIDGE ROAD,10468,7186017660,Latin American
50143667,LA NUEVA 90 BAKERY,Queens,3706,90TH ST,11372,9176514591,Latin American
50130048,BURGER QUEENS,Queens,9619,23RD AVE,11369,9175353874,American
50042777,NABAYA AFRICAN AMERICAN RESTUARANT,Bronx,860,MELROSE AVENUE,10451,7184012283,African
41479962,CHOCOLAT,Manhattan,2217,FREDERICK DOUGLASS BOULEVARD,,2122224545,American
50045112,GARDEN PUB,Manhattan,4,PENN PLZ,10121,2124656302,American
50103384,CHOCOLATE DIP,Manhattan,101,MACDOUGAL STREET,10012,4159904154,Bakery Products/Desserts
50001785,LA LUNA CAFE,Queens,44-01,30 AVENUE,11103,3477445100,American
50141753,CHIKURIN,Brooklyn,2362,86 STREET,11214,7183330811,Japanese
50106663,REG'Z NEW YORK PIZZA,Queens,2817,36TH AVE,11106,3473456201,Pizza
50147491,LA CASA DE CHICHARRON,Queens,10650,SUTPHIN BLVD,11435,7579478092,Spanish
50126243,TAIWAN STATION,Brooklyn,5510,7 AVENUE,11220,7184153925,Asian/Asian Fusion
41563537,BENITO ONE,Manhattan,174,MULBERRY STREET,10013,2122269171,Italian
40734589,THE GREEK KITCHEN,Manhattan,889,10 AVENUE,10019,2125814300,Greek
41543813,SERGIMMO SALUMERIA,Manhattan,456,9 AVENUE,10018,2129674212,Italian
50108113,KAUSA,Manhattan,745,9 AVENUE,10019,6465970651,Peruvian
40380164,CUCHIFRITOS,Bronx,158,E. 188 TH ST,,7183674500,Spanish
50144551,DIN'S KITCHEN,Brooklyn,5210,7 AVENUE,11220,3479874596,Chinese
41048074,GLATT ALA CARTE,Brooklyn,5123,18 AVENUE,11204,7184386675,Jewish/Kosher
41552525,MELTING POT CUISINE,Queens,36-01,VERNON BOULEVARD,11106,7186062670,Caribbean
50100674,OKOZUSHI,Brooklyn,376,GRAHAM AVENUE,11211,2017395301,Japanese
50097510,THE UPPER CRUST,Queens,6711,MAIN ST,11367,5162471915,Jewish/Kosher
50066744,THIP OSHA,Brooklyn,795,GRAND STREET,11211,7183887787,Thai
50094704,LISA'S DUMPLINGS,Manhattan,1000S,8 AVENUE,10019,9179941815,Chinese
50001215,BYUNG CHUN SOON DAE,Queens,15603,NORTHERN BLVD,11354,7184601044,Korean
50059605,THE KING OF TACOS,Queens,9017,31ST AVE,11369,7184240299,Tex-Mex
50044630,"HOT DOG CONCESSION, GARDEN MARKET",Manhattan,4,PENN PLZ,10121,2124656302,American
41692397,LA BELLA VITA,Manhattan,163,MULBERRY STREET,10013,2127758484,Italian
50121366,DOMINO'S,Brooklyn,146,SMITH STREET,11201,7185967000,Pizza
41549333,SATI'S ROTI SHOP,Queens,13317,ROCKAWAY BOULEVARD,11420,7186412861,Caribbean
50164622,CHEF'S HALAL GRILL,Brooklyn,1276,FULTON STREET,11216,7188096909,Middle Eastern
50145558,EL REY DE QUISQUEYA,Brooklyn,1310,BROADWAY,11221,3478570584,Spanish
41280375,PANERA BREAD,Queens,3801,35 AVENUE,11101,7189374740,American
50106776,EMILIO'S,Bronx,1051,MORRIS PARK AVENUE,10461,7188226758,Pizza
41457674,FIVE GUYS,Manhattan,690,3 AVENUE,10017,6467835060,Hamburgers
50048053,HUSKY-P MEALS DIRECT,Queens,18417,140TH AVE,11413,7185251161,Caribbean
41194024,HUMMUS PLACE,Manhattan,305,AMSTERDAM AVENUE,10023,2127993335,Middle Eastern
50148558,D.T RESTAURANT,Queens,133-35,ROOSEVELT AVENUE,11354,6467045131,Chinese
41620241,THE COMMONS CHELSEA,Manhattan,128,7 AVENUE,10011,2129299333,Coffee/Tea
50055936,ZABB PUTAWN,Manhattan,1584,1 AVENUE,10028,2129888800,Thai
41017770,GRAZIELLA'S,Brooklyn,232,VANDERBILT AVENUE,11205,7187895663,Italian
50139556,FOOD KING,Manhattan,694,10 AVENUE,10019,2123076701,Chinese
50065695,MR. Q'S,Bronx,2115,WILLIAMSBRIDGE ROAD,10461,7188232424,Chinese
50045328,NO. 1 CHINESE RESTAURANT,Bronx,3004,EASTCHESTER ROAD,10469,7183796197,Chinese
50160910,INDIGO COFFEE CO,Manhattan,769,6 AVENUE,10010,2019365625,Coffee/Tea
50097040,TWO BOOTS WEST VILLAGE,Manhattan,101,7 AVENUE SOUTH,10014,6468632668,Pizza
50067605,DACTA BIRD,Brooklyn,1553,RALPH AVENUE,11236,3477029106,Caribbean
50105594,HIBISCUS BREW,Brooklyn,546,FLATBUSH AVENUE,11225,3478243537,Coffee/Tea
41645673,69 PIZZERIA,Queens,4917,69TH ST,11377,7188988899,Pizza
50039083,PATSY'S PIZZERIA,Manhattan,2289,1 AVENUE,10035,2125349783,Italian
50093481,STONE STREET COFFEE SOHO,Manhattan,379,BROOME STREET,10013,9174554049,Coffee/Tea
50114664,BETWEEN THE BAGEL NY,Queens,3113,30TH AVE,11102,7189321425,Bagels/Pretzels
50114100,LENNYS PIZZERIA,Brooklyn,1046,NOSTRAND AVENUE,11225,7183632323,Pizza
50005068,JALAPENO KING,Brooklyn,719,5 AVENUE,11215,3479873777,Tex-Mex
50131273,YUMMY 88,Brooklyn,130,WILSON AVENUE,11237,7189287777,Chinese/Cuban
50066707,SZECHUAN DELIGHT,Brooklyn,152,7 AVENUE,11215,7187885408,Chinese
50164292,FORTUNE PLACE,Brooklyn,286,BROADWAY,11211,9295958744,Chinese
50118137,DRAGON SUSHI,Manhattan,1272,AMSTERDAM AVENUE,10027,6462038419,Japanese
50008164,EL BARRIO BURRITOS,Brooklyn,796A,FRANKLIN AVENUE,11238,7185766611,Mexican
50011586,EASTERN CHINESE RESTAURANT,Queens,2105,BROADWAY,11106,7182787333,Chinese
40383281,GABY'S PIZZA,Queens,20423,HILLSIDE AVENUE,11423,7187409716,Pizza
50008666,DELEON BAKERY & RESTAURANT,Queens,1858,CORNAGA AVE,11691,5162330098,Spanish
50044531,BD STAR PIZZA,Manhattan,91,AVENUE A,10009,2125051200,Pizza
50112608,CAFE ROUND K,Manhattan,78,CANAL STREET,10002,3474711601,Coffee/Tea
50082492,STUART CINEMA & CAFE,Brooklyn,79,WEST STREET,11222,9179917556,American
50128607,TANGY NOODLE,Manhattan,98,8 AVENUE,10011,6464272799,Chinese
50072605,BORAN THAI CUISINE,Brooklyn,462,COURT STREET,11231,7184900207,Thai
41665255,MCHALE'S BAR & GRILL,Manhattan,251,WEST 51 STREET,10019,2129575138,Irish
50135417,MIKES PIZZERIA,Queens,7175,YELLOWSTONE BLVD,11375,7187933464,Pizza
50159766,DUBAI PIZZA & GYRO,Brooklyn,1258,FLATBUSH AVENUE,11226,6467490555,Pizza
50008496,LAND-O-FUN,Brooklyn,2955,CONEY ISLAND AVENUE,11235,9172796405,American
40399174,GIGINO TRATTORIA,Manhattan,323,GREENWICH STREET,10013,2124311112,Italian
40954991,STAR ON 18TH DINER CAFE,Manhattan,128,10 AVENUE,10011,2123660994,American
41700337,SUNSHINE RESTAURANT,Queens,7310,NORTHERN BOULEVARD,11372,5167373878,Pakistani
50134501,WENDY'S,Manhattan,24,WEST 23 STREET,10010,5169835184,American
50121689,BELLA ITALY PIZZA,Bronx,1941,SOUTHERN BOULEVARD,10460,7183789577,Pizza
50087453,T & T RESTAURANT,Queens,4611A,KISSENA BLVD,11355,7186610819,Chinese
