id,restraunt_camis,inspection_date,inspection_type,action,score,grade,grade_date
70,50133208,2024-09-18,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,20,,
71,50119429,2025-05-31,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
72,50128391,2024-09-18,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,43,,
73,41704736,2024-04-02,Administrative Miscellaneous / Initial Inspection,No violations were recorded at the time of this inspection.,,,
74,41612260,2024-05-20,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,41,,
75,40395343,2023-02-16,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,10,A,2023-02-16
76,50011918,2024-04-02,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,31,,
77,40962335,2024-09-29,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
78,50132255,2025-03-13,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,32,,
79,50125236,2023-10-31,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,31,,
80,41250498,2024-06-17,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,35,,
81,50133003,2025-07-22,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,27,,
82,50115431,2024-02-16,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,37,,
83,50105992,2025-01-28,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
84,50058155,2025-05-20,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,11,A,2025-05-20
85,50012822,2024-03-22,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,66,,
86,50107563,2024-06-15,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
87,50128210,2024-04-20,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
88,41595491,2025-05-24,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
89,41713066,2023-12-11,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,32,,
90,50089281,2025-05-17,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
91,50005277,2025-05-28,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,26,,
92,50106152,2024-05-25,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
93,50128784,2023-10-12,Sodium Warning / Initial Inspection,No violations were recorded at the time of this inspection.,,,
94,50057959,2024-02-07,Cycle Inspection / Initial Inspection,No violations were recorded at the time of this inspection.,0,A,2024-02-07
95,50117478,2024-01-17,Cycle Inspection / Reopening Inspection,Establishment re-closed by DOHMH.,23,,
96,50142575,2025-05-30,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,37,,
97,50131460,2025-05-12,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,42,,
98,50145527,2025-05-23,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,11,A,2025-05-23
99,41406255,2025-02-24,Administrative Miscellaneous / Initial Inspection,No violations were recorded at the time of this inspection.,,,
100,50130631,2024-12-17,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,22,B,2024-12-17
101,50164695,2025-04-30,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,49,,
102,50134432,2025-04-16,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
103,50074402,2024-06-10,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
104,50123497,2025-05-12,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,58,,
105,50016803,2025-08-11,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,55,,
106,50148333,2024-09-04,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,44,,
107,41385076,2025-01-07,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,25,Z,2025-01-07
108,50087949,2023-05-23,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,30,,
109,50142911,2024-12-17,Cycle Inspection / Reopening Inspection,Establishment re-opened by DOHMH.,0,P,2024-12-17
110,40370939,2025-01-22,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,21,,
111,41368950,2024-02-26,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,2,A,2024-02-26
112,41580023,2023-06-13,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,26,,
113,50138708,2023-09-06,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,11,A,2023-09-06
114,50112864,2024-06-26,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,26,,
115,50054381,2023-05-30,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,35,,
116,50085703,2024-04-20,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
117,50109264,2023-09-27,Cycle Inspection / Compliance Inspection,No violations were recorded at the time of this inspection.,0,,
118,50106096,2025-07-16,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,77,C,2025-07-16
119,50156286,2025-03-24,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,28,,
120,50163138,2025-05-31,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
121,50065875,2025-08-13,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,29,,
122,50048806,2025-05-17,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
123,50033380,2024-06-02,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
124,50163507,2025-05-31,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
125,50133645,2025-06-11,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,52,N,
126,50035310,2024-01-31,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,46,,
127,50104311,2025-05-17,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
128,50006236,2023-01-17,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,12,A,2023-01-17
129,50166451,2025-04-21,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,12,A,2025-04-21
130,40998515,2023-01-24,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,11,A,2023-01-24
131,50129636,2025-07-22,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,5,A,2025-07-22
132,40393395,2023-10-04,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,7,A,2023-10-04
133,50132272,2024-09-19,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,21,,
134,50071494,2023-06-13,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,7,A,2023-06-13
135,50143283,2025-06-17,Pre-permit (Operational) / Initial Inspection,No violations were recorded at the time of this inspection.,0,A,2025-06-17
136,41705732,2023-05-21,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
137,50139167,2024-05-17,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,26,,
138,50008233,2024-03-07,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,26,B,2024-03-07
139,50088789,2023-12-20,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,37,,
140,50116822,2023-07-14,Cycle Inspection / Reopening Inspection,Establishment re-closed by DOHMH.,10,,
141,40378827,2023-01-31,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,38,,
142,40868400,2023-03-21,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,6,A,2023-03-21
143,50148675,2025-01-28,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,23,N,
144,50133211,2025-06-07,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
145,40376142,2025-07-22,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,21,N,
146,50129596,2023-01-11,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,55,,
147,41454244,2023-05-11,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,11,A,2023-05-11
148,50141172,2023-11-21,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,9,A,2023-11-21
149,40738177,2024-05-01,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,29,,
150,50170491,2025-08-05,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,39,N,
151,50129377,2024-04-25,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,27,B,2024-04-25
152,50039988,2024-03-21,Administrative Miscellaneous / Initial Inspection,No violations were recorded at the time of this inspection.,,,
153,41554263,2024-11-04,Cycle Inspection / Initial Inspection,No violations were recorded at the time of this inspection.,0,A,2024-11-04
154,50104534,2024-02-23,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2024-02-23
155,41709587,2024-10-22,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,24,,
156,50104703,2024-05-22,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,12,A,2024-05-22
157,50079292,2023-05-04,Administrative Miscellaneous / Initial Inspection,No violations were recorded at the time of this inspection.,,,
158,50101946,2025-08-23,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
159,41063300,2023-10-24,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2023-10-24
160,41184659,2023-02-23,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,23,,
161,40372445,2024-04-11,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,37,,
162,41495141,2023-01-30,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,9,A,2023-01-30
163,41309636,2023-03-06,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,13,A,2023-03-06
164,50085967,2024-10-10,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,13,A,2024-10-10
165,50128998,2025-07-09,Administrative Miscellaneous / Initial Inspection,No violations were recorded at the time of this inspection.,,,
166,40396548,2025-01-15,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,45,,
167,50126094,2024-04-12,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,8,A,2024-04-12
168,50035091,2024-11-20,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,9,A,2024-11-20
169,50059581,2025-01-16,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,25,,
170,50086994,2024-08-20,Administrative Miscellaneous / Re-inspection,Violations were cited in the following area(s).,,,
171,40979519,2023-02-02,Smoke-Free Air Act / Initial Inspection,No violations were recorded at the time of this inspection.,,,
172,40402893,2023-05-19,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,24,N,
173,50060917,2024-03-26,Administrative Miscellaneous / Initial Inspection,Violations were cited in the following area(s).,,,
174,50086327,2023-03-13,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,11,A,2023-03-13
175,50135173,2025-05-21,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,11,A,2025-05-21
176,50145538,2024-02-29,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,12,A,2024-02-29
177,41391456,2024-10-24,Cycle Inspection / Initial Inspection,No violations were recorded at the time of this inspection.,0,A,2024-10-24
178,40538766,2024-04-24,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,7,A,2024-04-24
179,50152644,2024-09-05,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,12,A,2024-09-05
180,50145449,2025-05-06,Cycle Inspection / Initial Inspection,No violations were recorded at the time of this inspection.,0,A,2025-05-06
181,50074621,2024-09-29,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
182,50106165,2024-10-05,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
183,50002628,2025-03-03,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,36,,
184,50139274,2023-08-24,Pre-permit (Operational) / Initial Inspection,No violations were recorded at the time of this inspection.,0,A,2023-08-24
185,50000338,2025-01-09,Cycle Inspection / Reopening Inspection,Establishment re-closed by DOHMH.,23,,
186,41656924,2023-11-21,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,12,A,2023-11-21
187,41277451,2024-12-05,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,20,,
188,50049514,2023-01-04,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,25,B,2023-01-04
189,50123411,2024-10-19,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
190,41577737,2023-01-30,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,12,A,2023-01-30
191,50113425,2023-04-11,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,12,A,2023-04-11
192,50114059,2024-09-25,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,44,,
193,50088464,2025-08-19,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,55,,
194,50038120,2025-03-03,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,20,,
195,40396159,2024-09-09,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
196,50047854,2023-04-25,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,30,,
197,50066146,2025-03-25,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,10,A,2025-03-25
198,50145538,2025-06-09,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2025-06-09
199,40365525,2024-10-25,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,60,,
200,50116136,2025-08-05,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,35,,
201,50123250,2024-12-10,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,7,A,2024-12-10
202,50076009,2023-01-31,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,23,B,2023-01-31
203,50124022,2024-06-15,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
204,50112047,2024-11-19,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,39,,
205,50133760,2024-09-06,Cycle Inspection / Reopening Inspection,Establishment re-opened by DOHMH.,0,C,2024-09-06
206,40659101,2024-01-04,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2024-01-04
207,50139187,2025-07-18,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,9,A,2025-07-18
208,50150810,2024-10-03,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,40,,
209,40877741,2023-04-14,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,8,A,2023-04-14
210,50118860,2025-03-10,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,17,,
211,41503108,2024-04-15,Administrative Miscellaneous / Re-inspection,Violations were cited in the following area(s).,,,
212,50058475,2023-04-14,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
213,41632521,2023-09-07,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,23,,
214,50145566,2025-03-10,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,77,,
215,50119444,2025-07-28,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,26,,
216,50118265,2025-05-10,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
217,50158841,2025-07-30,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,12,A,2025-07-30
218,50127870,2023-08-07,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,13,A,2023-08-07
219,50117697,2024-11-21,Cycle Inspection / Reopening Inspection,Establishment re-closed by DOHMH.,11,,
220,50115409,2023-01-18,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,19,B,2023-01-18
221,50144094,2025-05-19,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,22,,
222,50129949,2024-09-03,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,26,B,2024-09-03
223,50064910,2024-06-29,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2024-06-29
224,41657465,2024-06-07,Cycle Inspection / Reopening Inspection,Violations were cited in the following area(s).,48,,
225,50008640,2024-11-22,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,13,A,2024-11-22
226,50143667,2025-06-11,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,39,,
227,50130048,2024-01-31,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,12,A,2024-01-31
228,50042777,2024-04-03,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,37,,
229,41479962,2023-06-22,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,30,,
230,50045112,2025-02-01,Cycle Inspection / Initial Inspection,No violations were recorded at the time of this inspection.,0,A,2025-02-01
231,50103384,2023-07-06,Cycle Inspection / Reopening Inspection,Establishment re-closed by DOHMH.,33,,
232,50001785,2024-06-05,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,17,,
233,50141753,2025-08-04,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,9,A,2025-08-04
234,50106663,2024-07-08,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,62,,
235,50147491,2024-11-26,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).,22,B,2024-11-26
236,50126243,2025-06-26,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,33,,
237,41563537,2024-09-13,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
238,40734589,2024-12-10,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,7,A,2024-12-10
239,41543813,2023-02-28,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,12,A,2023-02-28
240,50108113,2025-05-17,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
241,40380164,2024-07-29,Administrative Miscellaneous / Initial Inspection,No violations were recorded at the time of this inspection.,,,
242,50144551,2025-08-13,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,22,,
243,41048074,2024-10-29,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,35,,
244,41552525,2024-12-06,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,25,B,2024-12-06
245,50100674,2025-08-20,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,26,Z,2025-08-20
246,50097510,2023-02-08,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,12,A,2023-02-08
247,50066744,2025-06-18,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,45,,
248,50094704,2024-10-19,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
249,50001215,2024-10-03,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,56,,
250,50059605,2025-04-14,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,57,C,2025-04-14
251,50044630,2023-04-29,Cycle Inspection / Initial Inspection,No violations were recorded at the time of this inspection.,0,A,2023-04-29
252,41692397,2024-09-13,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
253,50121366,2024-11-04,Administrative Miscellaneous / Initial Inspection,No violations were recorded at the time of this inspection.,,,
254,41549333,2024-05-09,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,9,A,2024-05-09
255,50164622,2025-04-21,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,8,A,2025-04-21
256,50145558,2024-04-03,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,23,,
257,41280375,2025-03-04,Administrative Miscellaneous / Initial Inspection,No violations were recorded at the time of this inspection.,,,
258,50106776,2023-03-03,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,19,,
259,41457674,2023-10-03,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,13,A,2023-10-03
260,50048053,2025-08-14,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,41,,
261,41194024,2024-10-10,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,24,,
262,50148558,2024-08-27,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).,36,,
263,41620241,2025-04-09,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,19,,
264,50055936,2024-04-20,Inter-Agency Task Force / Initial Inspection,No violations were recorded at the time of this inspection.,0,,
265,41017770,2023-01-05,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,27,B,2023-01-05
266,50139556,2025-08-21,Cycle Inspection / Re-inspection,Violations were cited in the following area(s).,21,Z,2025-08-21
267,50065695,2023-06-26,Cycle Inspection / Initial Inspection,Violations were cited in the following area(s).,26,,
