id,inspection_id,code,description,critical_flag
161,161,04M,Live roaches in facility's food or non-food area.,Critical
162,162,04M,Live roaches in facility's food or non-food area.,Critical
163,163,02B,Hot TCS food item not held at or above 140 F.,Critical
164,164,04M,Live roaches in facility's food or non-food area.,Critical
165,165,,,Not Applicable
166,166,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical
167,167,02B,Hot TCS food item not held at or above 140 F.,Critical
168,168,02B,Hot TCS food item not held at or above 140 F.,Critical
169,169,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical
170,170,20-06,Current letter grade or Grade Pending card not posted,Not Critical
171,171,,,Not Applicable
172,172,02B,Hot TCS food item not held at or above 140 F.,Critical
173,173,20-06,Current letter grade or Grade Pending card not posted,Not Critical
174,174,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
175,175,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical
176,176,09B,Thawing procedure improper.,Not Critical
177,177,,,Not Applicable
178,178,09B,Thawing procedure improper.,Not Critical
179,179,02B,Hot TCS food item not held at or above 140 F.,Critical
180,180,,,Not Applicable
181,181,,,Not Applicable
182,182,,,Not Applicable
183,183,02B,Hot TCS food item not held at or above 140 F.,Critical
184,184,,,Not Applicable
185,185,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical
186,186,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
187,187,04M,Live roaches in facility's food or non-food area.,Critical
188,188,02B,Hot TCS food item not held at or above 140 F.,Critical
189,189,,,Not Applicable
190,190,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
191,191,02B,Hot TCS food item not held at or above 140 F.,Critical
192,192,02B,Hot TCS food item not held at or above 140 F.,Critical
193,193,02B,Hot TCS food item not held at or above 140 F.,Critical
194,194,02B,Hot TCS food item not held at or above 140 F.,Critical
195,195,,,Not Applicable
196,196,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical
197,197,02B,Hot TCS food item not held at or above 140 F.,Critical
198,198,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
199,199,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
200,200,02B,Hot TCS food item not held at or above 140 F.,Critical
201,201,09B,Thawing procedure improper.,Not Critical
202,202,02B,Hot TCS food item not held at or above 140 F.,Critical
203,203,,,Not Applicable
204,204,09B,Thawing procedure improper.,Not Critical
205,205,,,Not Applicable
206,206,09B,Thawing procedure improper.,Not Critical
207,207,02B,Hot TCS food item not held at or above 140 F.,Critical
208,208,02B,Hot TCS food item not held at or above 140 F.,Critical
209,209,02B,Hot TCS food item not held at or above 140 F.,Critical
210,210,02B,Hot TCS food item not held at or above 140 F.,Critical
211,211,20-06,Current letter grade or Grade Pending card not posted,Not Critical
212,212,,,Not Applicable
213,213,02B,Hot TCS food item not held at or above 140 F.,Critical
214,214,02B,Hot TCS food item not held at or above 140 F.,Critical
215,215,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical
216,216,,,Not Applicable
217,217,09B,Thawing procedure improper.,Not Critical
218,218,09B,Thawing procedure improper.,Not Critical
219,219,04M,Live roaches in facility's food or non-food area.,Critical
220,220,09B,Thawing procedure improper.,Not Critical
221,221,02B,Hot TCS food item not held at or above 140 F.,Critical
222,222,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical
223,223,02B,Hot TCS food item not held at or above 140 F.,Critical
224,224,04M,Live roaches in facility's food or non-food area.,Critical
225,225,04M,Live roaches in facility's food or non-food area.,Critical
226,226,04M,Live roaches in facility's food or non-food area.,Critical
227,227,09B,Thawing procedure improper.,Not Critical
228,228,02B,Hot TCS food item not held at or above 140 F.,Critical
229,229,02B,Hot TCS food item not held at or above 140 F.,Critical
230,230,,,Not Applicable
231,231,04M,Live roaches in facility's food or non-food area.,Critical
232,232,02B,Hot TCS food item not held at or above 140 F.,Critical
233,233,02B,Hot TCS food item not held at or above 140 F.,Critical
234,234,02B,Hot TCS food item not held at or above 140 F.,Critical
235,235,02B,Hot TCS food item not held at or above 140 F.,Critical
236,236,02B,Hot TCS food item not held at or above 140 F.,Critical
237,237,,,Not Applicable
238,238,02B,Hot TCS food item not held at or above 140 F.,Critical
239,239,02B,Hot TCS food item not held at or above 140 F.,Critical
240,240,,,Not Applicable
241,241,,,Not Applicable
242,242,09B,Thawing procedure improper.,Not Critical
243,243,09B,Thawing procedure improper.,Not Critical
244,244,09B,Thawing procedure improper.,Not Critical
245,245,04M,Live roaches in facility's food or non-food area.,Critical
246,246,02B,Hot TCS food item not held at or above 140 F.,Critical
247,247,02B,Hot TCS food item not held at or above 140 F.,Critical
248,248,,,Not Applicable
249,249,09B,Thawing procedure improper.,Not Critical
250,75,04M,Live roaches in facility's food or non-food area.,Critical
251,250,02B,Hot TCS food item not held at or above 140 F.,Critical
252,251,,,Not Applicable
253,252,,,Not Applicable
254,253,,,Not Applicable
255,254,02B,Hot TCS food item not held at or above 140 F.,Critical
256,255,02B,Hot TCS food item not held at or above 140 F.,Critical
257,256,02B,Hot TCS food item not held at or above 140 F.,Critical
258,257,,,Not Applicable
259,258,02B,Hot TCS food item not held at or above 140 F.,Critical
260,259,02B,Hot TCS food item not held at or above 140 F.,Critical
261,260,02B,Hot TCS food item not held at or above 140 F.,Critical
262,261,02B,Hot TCS food item not held at or above 140 F.,Critical
263,262,02B,Hot TCS food item not held at or above 140 F.,Critical
264,263,02B,Hot TCS food item not held at or above 140 F.,Critical
265,264,,,Not Applicable
266,265,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical
267,266,02B,Hot TCS food item not held at or above 140 F.,Critical
268,267,09B,Thawing procedure improper.,Not Critical
269,268,02B,Hot TCS food item not held at or above 140 F.,Critical
270,269,15-37,Workplace SFAA policy not prominently posted in workplace.,Not Applicable
271,270,,,Not Applicable
272,271,09B,Thawing procedure improper.,Not Critical
273,272,,,Not Applicable
274,273,02B,Hot TCS food item not held at or above 140 F.,Critical
275,274,,,Not Applicable
276,275,,,Not Applicable
277,276,04M,Live roaches in facility's food or non-food area.,Critical
278,277,,,Not Applicable
279,278,02B,Hot TCS food item not held at or above 140 F.,Critical
280,279,02B,Hot TCS food item not held at or above 140 F.,Critical
281,280,02B,Hot TCS food item not held at or above 140 F.,Critical
282,281,02B,Hot TCS food item not held at or above 140 F.,Critical
283,282,02B,Hot TCS food item not held at or above 140 F.,Critical
284,283,04M,Live roaches in facility's food or non-food area.,Critical
285,284,02B,Hot TCS food item not held at or above 140 F.,Critical
286,285,02B,Hot TCS food item not held at or above 140 F.,Critical
287,286,02B,Hot TCS food item not held at or above 140 F.,Critical
288,287,02B,Hot TCS food item not held at or above 140 F.,Critical
289,288,04M,Live roaches in facility's food or non-food area.,Critical
290,289,09B,Thawing procedure improper.,Not Critical
291,290,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
292,291,02B,Hot TCS food item not held at or above 140 F.,Critical
293,292,02B,Hot TCS food item not held at or above 140 F.,Critical
294,293,04M,Live roaches in facility's food or non-food area.,Critical
295,294,,,Not Applicable
296,295,09B,Thawing procedure improper.,Not Critical
297,296,02B,Hot TCS food item not held at or above 140 F.,Critical
298,297,,,Not Applicable
299,298,,,Not Applicable
300,299,,,Not Applicable
301,300,02B,Hot TCS food item not held at or above 140 F.,Critical
302,301,02B,Hot TCS food item not held at or above 140 F.,Critical
303,302,02B,Hot TCS food item not held at or above 140 F.,Critical
304,303,,,Not Applicable
305,304,,,Not Applicable
306,305,02B,Hot TCS food item not held at or above 140 F.,Critical
307,306,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical
308,307,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
309,308,,,Not Applicable
310,309,02B,Hot TCS food item not held at or above 140 F.,Critical
311,310,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
312,311,02B,Hot TCS food item not held at or above 140 F.,Critical
313,312,02B,Hot TCS food item not held at or above 140 F.,Critical
314,313,04M,Live roaches in facility's food or non-food area.,Critical
315,314,09B,Thawing procedure improper.,Not Critical
316,315,,,Not Applicable
317,316,,,Not Applicable
318,317,02B,Hot TCS food item not held at or above 140 F.,Critical
319,318,02B,Hot TCS food item not held at or above 140 F.,Critical
320,319,02B,Hot TCS food item not held at or above 140 F.,Critical
321,320,02B,Hot TCS food item not held at or above 140 F.,Critical
322,321,02B,Hot TCS food item not held at or above 140 F.,Critical
323,322,04M,Live roaches in facility's food or non-food area.,Critical
324,323,,,Not Applicable
325,324,09B,Thawing procedure improper.,Not Critical
326,325,15-39,Ashtray present in smoke-free area.,Not Applicable
327,326,,,Not Applicable
328,327,09B,Thawing procedure improper.,Not Critical
329,328,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical
330,329,,,Not Applicable
331,330,,,Not Applicable
332,331,09B,Thawing procedure improper.,Not Critical
333,332,04M,Live roaches in facility's food or non-food area.,Critical
334,333,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
335,334,02B,Hot TCS food item not held at or above 140 F.,Critical
336,335,,,Not Applicable
337,336,04M,Live roaches in facility's food or non-food area.,Critical
338,337,02B,Hot TCS food item not held at or above 140 F.,Critical
339,338,04M,Live roaches in facility's food or non-food area.,Critical
340,339,,,Not Applicable
341,340,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical
342,341,04M,Live roaches in facility's food or non-food area.,Critical
343,342,15-21,"Flavored tobacco products sold, offered for sale",Not Applicable
344,343,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical
345,344,09B,Thawing procedure improper.,Not Critical
346,345,02B,Hot TCS food item not held at or above 140 F.,Critical
347,346,02B,Hot TCS food item not held at or above 140 F.,Critical
348,347,09B,Thawing procedure improper.,Not Critical
349,348,,,Not Applicable
350,349,02B,Hot TCS food item not held at or above 140 F.,Critical
351,350,,,Not Applicable
352,351,09B,Thawing procedure improper.,Not Critical
353,352,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
354,353,,,Not Applicable
355,354,,,Not Applicable
356,355,,,Not Applicable
357,356,,,Not Applicable
358,357,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical
359,358,09B,Thawing procedure improper.,Not Critical
360,359,09B,Thawing procedure improper.,Not Critical
361,360,02B,Hot TCS food item not held at or above 140 F.,Critical
362,361,,,Not Applicable
363,362,02B,Hot TCS food item not held at or above 140 F.,Critical
364,363,02B,Hot TCS food item not held at or above 140 F.,Critical
365,364,,,Not Applicable
366,365,15-21,"Flavored tobacco products sold, offered for sale",Not Applicable
367,366,09B,Thawing procedure improper.,Not Critical
368,367,02B,Hot TCS food item not held at or above 140 F.,Critical
369,368,09B,Thawing procedure improper.,Not Critical
370,369,02B,Hot TCS food item not held at or above 140 F.,Critical
371,370,,,Not Applicable
372,371,02B,Hot TCS food item not held at or above 140 F.,Critical
373,372,04M,Live roaches in facility's food or non-food area.,Critical
374,373,04M,Live roaches in facility's food or non-food area.,Critical
375,374,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
376,375,,,Not Applicable
377,376,02B,Hot TCS food item not held at or above 140 F.,Critical
378,377,,,Not Applicable
379,378,02B,Hot TCS food item not held at or above 140 F.,Critical
380,379,,,Not Applicable
381,380,04M,Live roaches in facility's food or non-food area.,Critical
382,381,09B,Thawing procedure improper.,Not Critical
383,382,,,Not Applicable
384,383,02B,Hot TCS food item not held at or above 140 F.,Critical
385,384,02B,Hot TCS food item not held at or above 140 F.,Critical
386,385,02B,Hot TCS food item not held at or above 140 F.,Critical
387,386,02B,Hot TCS food item not held at or above 140 F.,Critical
388,387,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
389,388,,,Not Applicable
390,389,09B,Thawing procedure improper.,Not Critical
391,390,02B,Hot TCS food item not held at or above 140 F.,Critical
392,391,09B,Thawing procedure improper.,Not Critical
393,392,,,Not Applicable
394,393,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
395,394,02B,Hot TCS food item not held at or above 140 F.,Critical
396,395,,,Not Applicable
397,396,,,Not Applicable
398,397,02B,Hot TCS food item not held at or above 140 F.,Critical
399,206,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
400,398,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical
401,399,02B,Hot TCS food item not held at or above 140 F.,Critical
402,400,02B,Hot TCS food item not held at or above 140 F.,Critical
403,401,,,Not Applicable
404,402,20-06,Current letter grade or Grade Pending card not posted,Not Critical
405,403,02B,Hot TCS food item not held at or above 140 F.,Critical
406,404,02B,Hot TCS food item not held at or above 140 F.,Critical
407,405,09B,Thawing procedure improper.,Not Critical
408,406,02B,Hot TCS food item not held at or above 140 F.,Critical
409,407,,,Not Applicable
410,408,,,Not Applicable
411,409,,,Not Applicable
412,410,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
413,411,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
414,412,02B,Hot TCS food item not held at or above 140 F.,Critical
415,413,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical
416,414,03A,"Food, prohibited, from unapproved or unknown source, home canned or home prepared. Animal slaughtered, butchered or dressed (eviscerated, skinned) in establishment. Reduced Oxygen Packaged (ROP) fish not frozen before processing. ROP food prepared on premises transported to another site.",Critical
417,415,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment's food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical
418,416,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
419,417,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment's food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical
420,418,20-08,Failure to post or conspicuously post healthy eating information,Not Critical
421,419,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer's refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical
422,420,02H,"After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 F to 70 F or less within 2 hours, and from 70 F to 41 F or less within 4 additional hours.",Critical
423,421,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
424,422,08B,"Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.",Not Critical
425,423,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical
426,424,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
427,425,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
428,426,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical
429,427,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical
430,428,02G,Cold TCS food item held above 41 F; smoked or processed fish held above 38 F; intact raw eggs held above 45 F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical
431,429,10H,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical
432,430,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment's food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical
433,431,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer's refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical
434,432,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
435,433,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
436,434,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer's refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical
437,435,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
438,436,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical
439,437,04C,Food worker/food vendor does not use utensil or other barrier to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical
440,438,04M,Live roaches in facility's food or non-food area.,Critical
441,439,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment's food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical
442,440,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical
443,441,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical
444,416,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical
445,442,04M,Live roaches in facility's food or non-food area.,Critical
446,443,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical
447,444,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
448,445,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
449,446,15-37,Workplace SFAA policy not prominently posted in workplace.,Not Applicable
450,447,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
451,448,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
452,449,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical
453,450,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer's refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical
454,451,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical
455,452,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer's refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical
456,453,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment's food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical
457,454,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical
458,455,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
459,456,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical
